,pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
33200,TOI-1899 b,TOI-1899,2020,Transit,29.02,0.1587,12.89,209.7678,12.3982,2.9,362.0,M0,3841.0,5.73806,75.50727,418.9087284118308,-403.5465989753458,104.30961951550307
33237,TOI-2095 b,TOI-2095,2023,Transit,17.66484,0.101,1.25,4.1,25.7685,3.43,347.0,M2.5 V,3759.0,25.49556,106.75582,136.71692578579362,-118.16380106465272,-35.57635802901706
33238,TOI-2095 c,TOI-2095,2023,Transit,28.17232,0.137,1.33,7.4,41.0822,1.84,297.0,M2.5 V,3759.0,25.49556,106.75582,136.71692578579362,-118.16380106465272,-35.57635802901706
33249,TOI-2136 b,TOI-2136,2022,Transit,7.851928,0.057,2.19,6.37,13.043,4.0,395.0,M4.5 V,3342.0,17.01545,65.83323,108.81587845401482,-94.93315447527443,42.59848932550402
33264,TOI-2180 b,TOI-2180,2022,Transit,260.79,0.828,11.321,875.61726,67.0918,2.71,348.0,G5,5695.0,25.01309,85.74578,380.57556933878203,-343.93160272964826,25.584004632204678
33274,TOI-2196 b,TOI-2196,2022,Transit,1.1947268,0.02234,3.51,26.0,20.7245,2000.0,1860.0,G V,5634.0,-35.17676,323.77267,847.8337191833429,409.55712289874475,559.0291481098969
33309,TOI-244 b,TOI-244,2023,Transit,7.397225,0.0559,1.52,2.68,11.3913,7.3,458.0,M2.5 V,3433.0,-80.21632,313.7951,71.86431779697408,8.814727416197508,8.451572703307477
33343,TOI-2641 b,TOI-2641,2023,Transit,4.880974,0.0607,18.103,122.68177,3.6762,602.0,1387.0,F9 V,6100.0,17.329,286.38094,1122.1247097155697,1027.7096737851657,302.09995043679805
33348,TOI-269 b,TOI-269,2021,Transit,3.6977104,0.0345,2.77,8.8,11.2628,19.0,531.0,M2 V,3514.0,-37.32334,261.96005,185.98252048352998,146.44451678877377,-20.68557145538157
33387,TOI-3629 b,TOI-3629,2022,Transit,3.936551,0.043,8.295,82.63539,11.7939,39.0,690.0,M1,3870.0,-22.44783,112.0229,424.30009333548867,-363.53627204306406,-147.04723166629708
