pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravitye,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
TOI-1246 c,TOI-1246,2022,Transit,5.904144,0.061,2.51,8.8,1.396803225,13.717,129,860,K V,5151,35.90788,102.34143,552.5806583,-437.2260338,-95.66192791
TOI-1246 d,TOI-1246,2022,Transit,18.6559,0.131,3.51,5.3,0.430191313,4.2246,28,586,K V,5151,35.90788,102.34143,552.5806583,-437.2260338,-95.66192791
TOI-1246 e,TOI-1246,2022,Transit,37.9216,0.211,3.78,14.8,1.035805269,10.1719,11,462,K V,5151,35.90788,102.34143,552.5806583,-437.2260338,-95.66192791
TOI-125 b,TOI-125,2019,Transit,4.65382,0.05186,2.726,9.5,1.278415131,12.5544,185,1037,K0 V,5320,-49.90031,296.35814,362.2260115,209.060369,103.5881616
TOI-125 c,TOI-125,2019,Transit,9.15059,0.0814,2.759,6.63,0.8709839,8.5533,77.59,828,K0 V,5320,-49.90031,296.35814,362.2260115,209.060369,103.5881616
TOI-125 d,TOI-125,2020,Transit,19.98,0.137,2.93,13.6,1.584176869,15.5571,26.7,638,K0 V,5320,-49.90031,296.35814,362.2260115,209.060369,103.5881616
TOI-1260 b,TOI-1260,2021,Transit,3.12748,0.0366,2.34,8.6,1.570604135,15.4238,91,860,K6 V,4227,45.37156,142.80364,240.0435924,-101.9463205,-134.3270367
TOI-1260 c,TOI-1260,2021,Transit,7.49325,0.0656,2.82,11.8,1.483828781,14.5716,28.4,643,K6 V,4227,45.37156,142.80364,240.0435924,-101.9463205,-134.3270367
TOI-1266 b,TOI-1266,2020,Transit,10.894879,0.0745,2.458,15.9,2.631681741,25.8439,4.72,410,M2 V,3573,51.16066,119.58108,117.4547824,-64.05939662,-36.36282741
TOI-1266 b,TOI-1266,2020,Transit,10.894843,0.0736,2.37,13.5,2.403460984,23.6027,4.9,413,M3,3600,51.16066,119.58108,117.4547824,-64.05939662,-36.36282741
TOI-1266 c,TOI-1266,2020,Transit,18.80152,0.1037,1.673,6.4,2.286588906,22.455,2.42,347,M2 V,3573,51.16066,119.58108,117.4547824,-64.05939662,-36.36282741
TOI-1266 c,TOI-1266,2020,Transit,18.80151,0.1058,1.56,2.2,0.904010519,8.8777,2.3,344,M3,3600,51.16066,119.58108,117.4547824,-64.05939662,-36.36282741
TOI-132 b,TOI-132,2020,Transit,2.1097019,0.026,3.42,22.4,1.915119182,18.807,860,1395,G8 V,5397,-57.81809,353.41363,533.8462359,32.61304373,282.4547888
TOI-1416 b,TOI-1416,2023,Transit,1.0697568,0.019,1.62,3.48,1.326017375,13.0219,883,1517,G9 V,4884,65.39358,76.1889,179.4300389,-72.55150177,17.83526224
TOI-1431 b,TOI-1431,2021,Transit,2.650237,0.046,16.701,991.62463,3.555186214,34.913,5300,2370,Am C,7690,5.72303,94.60687,485.7283855,-481.7458628,-38.81848961
TOI-1452 b,TOI-1452,2022,Transit,11.06201,0.061,1.672,4.82,1.724147799,16.9316,1.8,326,M4 &#177 0.5 V,3185,23.81292,104.66497,99.54684036,-88.10539554,-23.05645303
TOI-1470 b,TOI-1470,2023,Transit,2.527093,0.0285,2.18,7.32,1.540274388,15.126,46.3,734,M1.5 V,3709,-1.62965,121.59773,169.4392167,-144.2610894,-88.74213587
